Código;Produto;Valor Unitário
16011045;CHASSI COM 12 SLOTS PARA MINI CONVERSOR;0
16011047;MINI CONVERSOR DE MIDIA;0
16011175;PEN DRIVE 8 GB;0
16011177;PEN DRIVE 16 GB;40,08
16011513;ETIQUETA BRADY VINYL PT EM BC 9.5MM;165,6
16011514;ETQUETA BRADY VINYL PT EM BC 12.7MM;175,96
16011515;ETIQUETA BRADY VINYL PT EM BC 19.0MM;203,57
16011516;ETIQUETA BRADY VINYL PT EM AM 9.5MM;0
16011517;ETIQUETA BRADY VINYL PT EM AM 12.7MM;0
16011518;ETIQUETA BRADY VINYL PT EM AM 19.0MM;203,57
16011519;ETIQUETA BRADY VINYL BC EM PT 9.5MM;0
16011520;ETIQUETA BRADY VINYL BC EM PT 12.7MM;0
16011521;ETIQUETA BRADY VINYL BC EM PT 19.0MM;0
16011522;ETIQUETA AUTOLAMINAVEL BRADY 30.5MM;319,53
16011523;ETIQUETA AUTOLAMINAVEL BRADY 38.0MM;327,14
16011972;FUSOR XEROX C7020 11500114;2545
16013232;BACKUP TAPE LTO 7 07J4HF 6TB-15TB;0
16013233;"DISCO SAS 2.4TB 10K RPM 12GBPS 2.5"" DELL";0
16013234;ADAPTADOR HDMI X DISPLAY PORT;0
16013235;ADAPTADOR HDMI X MINI DISPLAY PORT;0
16013236;SSD 500GB EXTERNO;272,1
16013237;CASE SSD TIPO M.2 CONEX TIPO-C/USB 3.0;0
16013332;BATERIA 68WH PARA LAPTOP LATITUDE 5491;0
16014113;LIBRARY POWERVAULT TL 1000;0
16014124;TELEFONE ANALOGICO DE MESA C/ FIO;78,9
16014125;TELEFONE ANALOGICO WIRELESS C/ DISPLAY;187,9
16014132;CAMERA ANALOGICA PARA CCTV EE-BZ22CD1;0
16014133;CAMERA ANALOGICA PARA CCTV EN-BNV2X1;0
16014134;LENTE PARA CAMERA EN-BNV2X1;0
16014135;SWITCH ZYXEL PARA DECODIFICADOR BAZEPORT;0
16014136;PAINEL FRONTAL RÁDIO FM-800S/D;0
16014650;FITA BACKUP IBM 3592/JB;0
16014651;FITA BACKUP IBM 3592/JC;0
16014886;CABO HDMI X DISPLAY PORT;50
16015175;HEADSET HEAVY-DUTY PARA RADIO DGP8050;6099
16015176;ADAPTADOR PTT PARA HEADSET;3525,97
16015177;MICROFONES DE EXPANSÃO POLY TRIO;0
16016280;DISCO RÍGIDO 360GB - XEROX C7025;656,98
16016281;KIT POSTSCRIPT - XEROX C7025;5032,43
16016282;KIT INICIALIZACAO 25PPM - XEROX C7025;5032,43
16016489;HEADSET BID C/ C/FIO 1,90M LOGITECH/H390;412,64
16016490;FILTRO PRIV P/MONIT CRT/LCD 3M/PF24W;0
16016491;CAIXA SOM PORT PT 1,2W USB LOGITECH/S150;0
16016552;ETIQUETA COD BARR P/FIT BACKUP LTO7 HP;0
16016556;TELEVISOR COLOR INF SAMSUNG/UN50H5303AG;3239,9
16016650;TELEVISOR COLOR 60POL SAMSUNG/UN60H6300;4613,33
16016651;TELEVISOR COLOR INF SAMSUNG/UN75J6300AG;0
16017249;DISTRIBUIDOR INT OPT FIBRACEM/DIO00981;1333,69
16017257;CORDAO FIBR OTIC LJ 2M R E M/R303976;421,8
16017258;CORDAO FIBR OTIC LJ 3M R E M/R303977;441,92
16017259;CORDAO FIBR OTIC LJ 2M R E M/R303986;0
16017260;CORDAO FIBR OTIC LJ 3M R E M/R303987;441,92
16017261;CORDAO FIBR OTIC LJ 1M R E M/R303985;0
16017262;CORDAO FIBR OTIC AZ 2,50M R E M/R301462;755,13
16017734;SERVIDOR ARMZ 24TB 10 HD AXIS/S114824TB;0
16017739;BASE P/CAM FIX AXIS/WALLMOUNTEXCAMXFM30;0
16017759;RACK FECH P/COMP APC/NETSHELTERAR3150;0
16017776;DECAPADOR P/CAB RED CZ SIEMENS/1620168;3480
16017777;FERRAMENTA P/CONEX BL DISTR BARGOA/M10FC;0
16017778;ALICATE INSERC/IMP ABS RJ45 498300120101;6,8
16017779;FERRO SOLD AGULH HIKARI/SC5034W110VCA;99,14
16017780;SUGADOR P/SOLD AL PTFE VONDER/VDO2514;46,82
16017781;LOCALIZADOR CAB DIG BAT 9V STATRON/501I;395
16017794;REGUA TOMAD P/QUADR COMAND APC/AP7921;6471,66
16018032;IMPRESSORA MULTIF 250 FOLH XEROX/C6515DN;0
16018080;BATERIA 7,6V BATERIADELLLATITUDE7490;0
16019565;FONE OUV BLUETOOTH HARMAN/JBLTUNE500BTPT;499
16020161;HEADSET OMNIDIREC C/ DAVID CLARK/H10134;4890
16020162;INTERRUPTOR P/RAD DAVID CLARK/18216G01;1100
16021752;CARTAO MEMO S/ CARTAOMEMORIAMICROSD64GB;159
16023243;DISCO RIG 2TB SATA SEAGATE/ST2000VX015I;617,74
16024722;PEN DRIVE 64GB USB 3,2 60MB/S 200MB/S;90,7
16024737;CABO CONV COM USB/SER DB9 1,80M;99
16025876;TELEVISOR COLOR PT SAMSUNG/QN85Q70AAGXZD;13954,01
16026212;TONER PT IMPR XEROX/006R04368NO;1698,44
16026213;TONER MAG IMPR XEROX/006R04370NO;1249,22
16026214;TONER CIAN IMPR XEROX/006R04369NO;1249,22
16026215;TONER AM IMPR XEROX/006R04371NO;1249,22
16026224;UNIDADE IMG IMPR XEROX/013R00692;3840,81
16027104;SUPORTE P/MONIT/MICROCOMP A C C/ CTM100;145
16027198;CONECTOR UHF MACH PIN FIX LAT 2509CX171;0
16028177;CINTO P/VESTUARIO UNI COUR PT C/FIV PIN;0
16028937;DISCO RIG EXT USB 2TB SAMSUNG/MUPE2T0SWW;0
16029344;RIBBON PT RES 109,98MM BRADY/B30R10000;0
16029887;AFIADOR FAC PEDR 30MM MUNDIAL/P150050;0
16030453;TRINCO AL CROM C/CAST;105
16031245;HUB SIMP 4PORT 5GB/S BASEUS/WKQX030101;195,8
16032817;CABO ALIM IEC-320 C13/C20 10A 2M;0
16032823;CABO CJ ALIM P/COMP C13/C14 120VCA 10A;0
16032835;FITA P/LIMP DRIV HPE/C7978A;0
16032837;CABO TRANSF DAD VENTION/VASA13B200;0
16033704;CREPEIRA ELETR 12 CREPES PROGAS/P30402;0
16033949;POTE INC INC COZA/POTEHERMETICO2LCRISTAL;0
16009093;FORNO COMBINADO ELECTRICO DA PADARIA;25049,57
16017945;MAQUINA GELO INOX 43KG MACOM/SRM105A;24062,92
16018847;BANDEJA ORGANIZADORA MATERIAL POLIESTIRE;247,9
16001602;CAIXA CORRESP TRIPLA MOVEL CRISTAL 003;0
16001605;CANETA ESF 1.0 CRISTAL CX C/50 BIC AZUL;72,93
16001606;CANETA ESF 1.0 CRISTAL CX C/50 BIC PRETO;89,67
16001648;CLIPS N.3/0 GALVANIZ 420UN 500G BACCHI;94,35
16001656;ELASTICO LATEX N.18 CX 100G RED BOR;35
16001690;FITA DUPLA-FACE TRANSPARENTE SCOTCH;215
16001696;GRAMPO GALVANIZADO 5000UN 26/06 BACCHI;18,03
16001697;GRAMPO GALVANIZADO 5000UN A13/08 BACHI;18,93
16001746;PINCEL MARCA TEXTO AM/LJ/VD/RS 4UN;212,6
16003073;LIVRO ATA S MARG 200FLS PRETO;45,56
16003074;PAPEL A4 210X297MM PCT 500FL;47,41
16003075;LAPISEIRA PONTA 0.7MM;21,85
16003076;LAPISEIRA PONTA 0.9MM;21,55
16003077;LAPIS GRAF N2 REDOND PRETO;121,5
16003078;NOTAS AUTOADESIV 76X102MM 100FL AMAREL;12,24
16003079;ENVELOPE KRAFT SACO 229X324 (A4) 10UN;0
16003080;PASTA CATALOG CHIES 100UN A4 PRETA;54,71
16003081;PASTA L OFICIO 230X335MM 10UN ACP;8,76
16003082;CANETA M PERMAN PONT MED 2.0MM AZUL;12,8
16003083;BORRACHA BRANCA RECORD 40;3,5
16003230;FITA EMBALAR TRANSP.48X50M 369 3M;6,23
16004075;ARMARIO 2PORTAS - PASTA SUSPENSA A/Z;4630,5
16004076;PASTA SUSPENSA PRETA - 360X240MM;9,99
16005287;PLASTIFICADORA POLISELADORA P280;1398,25
16005288;SACO PLASTICO PP A4 4FUROS 0,05MM A40550;0
16005289;IMPRESSORA  PORTATIL BRADY - BMP71;15840
16005290;FITA DEMARCADORA 2”X50’ - BRANCA;0
16005291;FITA DEMARCADORA 2”X50’ - PRETA;0
16005292;FITA DEMARCADORA 2”X50’ - VERMELHA;0
16005293;RIBBONS P/IMPRESS BMP71 - BRANCO;689,41
16005294;RIBBONS P/IMPRESS BMP71 - PRETO;688,9
16005637;APAGADOR P/QUADRO BRANCO;7,5
16005638;KIT PINCEL P/QUADRO BRANCO C/APAGADOR;432,96
16005639;LAMINA P/PLASTIFICAR A4 (220 X 307MM);114,54
16005640;LAMINA P/PLASTIFICAR M (80 X 100MM);0
16005641;LAMINA P/PLASTIFICAR P (66 X 99MM);0
16006355;CAMERA EX DIGITAL E TERMICA MOD EXCDDT;9489,65
16006357;CAMERA DIG.SONY MOD DSC-W800S *NÃO USAR*;3952,3
16006358;PILHA AA 2500MAH RECARREGA C/CARREGADOR;2044
16006508;PORTA ETIQUETA PLAST 8,0x16,0CM -ILH/ZIP;5,5
16006731;ETIQUETA ADESIVA CUSTOM P/RECEBIMENTO;1
16006816;ADESIVO CUSTOMIZADO COMUNICACAO;0
